name,address,category
Бархат cafe & lounge,"Цирк, Кабанбай батыр проспект, 5, Астана",Рестораны
Timeless,"Улица Акмешит, 1 блок 4, Астана",Рестораны
Okadzaki.kz,"Проспект Абая, 59, Астана",Рестораны
Шашлыкоff,"Керей, Жанибек хандар улица, 12Б, Астана",Рестораны
SF,"Улица Туркестан, 10, Астана",Рестораны
Bloom Room Cafe,"Проспект Туран, 52, Астана",Рестораны
The Moon,"Улица Акмешит, 1 блок 6, Астана",Рестораны
Brewery,"Проспект Туран, 30, Астана",Рестораны
TomYumBar,"Проспект Туран, 20, Астана",Рестораны
Daididau,"Улица Динмухамед Конаев, 14, Астана",Рестораны
Arnau,"Проспект Туран, 30, Астана",Рестораны
MeATADOR,"Проспект Туран, 60, Астана",Рестораны
Вечное Небо,"Улица Александр Бараев, 23, Астана",Рестораны
Turandot,"Улица Туркестан, 34, Астана",Рестораны
Line Brew,"Улица Кенесары, 20, Астана",Рестораны
Dark Side,"Проспект Мангилик Ел, 52а, Астана",Рестораны
Line Brew Reserve,"Улица Кадыргали Жалайыри, 4, Астана",Рестораны
Рыба Пила,"Проспект Туран, 22, Астана",Рестораны
Восточный двор,"Улица Республики, 1Б, Косшы, Косшы городская администрация, Акмолинская область",Рестораны
Myrza,"Амангельды Иманова улица, 41, Астана",Красота
CROP Barbershop,"Улица Алматы, 11, Астана",Красота
Sabai Thai Spa & Massage,"ЖК BI City Seoul блок F, улица Абикен Бектуров, 1, Астана",Красота
Aitmen,"Улица Кайрат Рыскулбеков, 29, Астана",Красота
Iris Thai Spa,"Керей, Жанибек хандар улица, 18, Астана",Красота
Tulip SPA,"Проспект Туран, 19/1, Астана",Красота
Sakura,"Улица Шолпан Иманбаевой, 9, Астана",Красота
CROP Beauty,"Улица Орынбор, 12 Блок 2, Астана",Красота
Onyx Spa,"Улица Достык, 1/2, Астана",Красота
Buddha Spa Premium,"Проспект Туран, 54, Астана",Красота
SuperMe,"Проспект Мангилик Ел, 53, Астана",Красота
DINARA MYNBAI,"Гульжан, проспект Абылай хана, 34, Астана",Красота
GQ,"Кабанбай батыр проспект, 60/19, Астана",Красота
Sener beauty,"Проспект Мангилик Ел, 21, Астана",Красота
GL Style Club,"ТРЦ Keruencity, шоссе Коргалжын, 1, Астана",Красота
Beauty stars,"Проспект Улы Дала, 67, Астана",Красота
Soldi,"Улица Санжара Асфендиярова, 2, Астана",Красота
Prana Thai SPA,"Улица Гейдара Алиева, 3/1, Астана",Красота
SPA Winox,"Улица Сарайшык, 27/3, Астана",Красота
Ola beauty,"Улица Анет баба, 9/1Б, Астана",Красота
Anatomy clinic,"Улица Аскар Токпанов, 20, Астана",Красота
Bali SPA,"Улица Динмухамед Конаев, 29/2, Астана",Красота
SAHAR & VOSK,"Проспект Туран, 55к, Астана",Красота
Kedma Luxury Spa,"Кабанбай батыр проспект, 28, Астана",Красота
Kata Thai Spa,"Проспект Туран, 44/2, Астана",Красота
Академия Азизы Гулямовой,"Улица Шолпан Иманбаевой, 8, Астана",Красота
Pro Skin 2737,"Улица Алихан Бокейхан, 46, Астана",Красота
Koricca SPA,"Проспект Богенбай батыр, 56а, Астана",Красота
Ramina Clinic,"Проспект Мангилик Ел, 41/3, Астана",Красота
Facetime,"Улица Алихан Бокейхан, 11/1, Астана",Красота
epicentr,"Улица Беимбет Майлин, 11, Астана",Красота
Studio AKONI,"Проспект Туран, 50/3, Астана",Красота
Aurum,"Улица Туркестан, 10, Астана",Красота
AHILLES,"Улица Сыганак, 64/1, Астана",Красота
Tulip Medicine,"ЖК Хайвил Астана, блок А, улица Ахмет Байтурсынулы, 1, Астана",Красота
Pink Beauty,"Кабанбай батыр проспект, 58Б корпус 5, Астана",Красота
Love My Body,"Улица Сыганак, 17с, Астана",Красота
Storm,"Проспект Туран, 34а, Астана",Красота
Meduza,"Проспект Ракымжан Кошкарбаев, 32 блок Л, Астана",Красота
Khanzada Barbershop,"Улица Бухар жырау, 28, Астана",Красота
STARMOON,"Проспект Абылай хана, 54а, Астана",Красота
TM Barbershop,"Проспект Мангилик Ел, 28, Астана",Красота
Oscar,"Улица Санжара Асфендиярова, 10, Астана",Красота
Gladko_ast,"ТЦ Green Mall, улица Сыганак, 17Б, Астана",Красота
Luxe,"ТРЦ Asia park, Кабанбай батыр проспект, 21, Астана",Красота
Caesar`s,"Улица Кайым Мухамедханов, 4/3, Астана",Красота
Talmur Barbershop,"Улица Кайым Мухамедханов, 8, Астана",Красота
Zeynab Beauty Studio,"Улица Кенжебек Кумисбеков, 2, Астана",Красота
Julia.Estet,"Кабанбай батыр проспект, 42, Астана",Красота
Dr.Sankesheva Profi-Clinic,"Кабанбай батыр проспект, 60а/19, Астана",Красота
Aia Nail Club,"Улица Санжара Асфендиярова, 9, Астана",Красота
13,"Проспект Туран, 22, Астана",Красота
Special,"Улица Сыганак, 54а, Астана",Красота
Rufina beauty time,"Проспект Улы Дала, 39, Астана",Красота
Galo podology,"Улица Кенжебек Кумисбеков, 4, Астана",Красота
Rufine`s Beauty&Education,"Улица Жумекен Нажимеденов, 34а, Астана",Красота
jz_beauty.astana,"Улица Кенесары, 8, Астана",Красота
Ir.skins.astana,"ЖК Алан, проспект Улы Дала, 61, Астана",Красота
Prime,"Улица Култегин, 7, Астана",Красота
Tasha Beauty,"Улица Едил, 26, Астана",Красота
It`s nailday.,"Улица Алихан Бокейхан, 16/3, Астана",Красота
BodyPro,"Керей, Жанибек хандар улица, 22, Астана",Красота
nurgul_karakulovaaa,"Улица Кайым Мухамедханов, 8, Астана",Красота
True Man,"Улица Сарайшык, 34, Астана",Красота
The Шёлк,"Улица Сыганак, 54а, Астана",Красота
Monke,"Улица Бухар жырау, 40, Астана",Красота
Zuziface,"Улица Сыганак, 54а, Астана",Красота
OldBoy,"Улица Амман, 2, Астана",Красота
ДермЭстет Клиника,"Кабанбай батыр проспект, 5/1, Астана",Красота
The Face Studio,"Проспект Мангилик Ел, 52 блок B1, Астана",Красота
Ногтевая студия Aхметовой,"Деловой дом Алма-Ата, Амангельды Иманова улица, 19, Астана",Красота
BeautyControl,"Улица Абикен Бектуров, 1/2, Астана",Красота
